Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Psmd7,NC_000074.7,-,7,0.832334820765779,0.999995354919091
gene-Fdps,NC_000069.7,-,11,0.8323874853341,0.999995354919091
gene-Stard10,NC_000073.7,+,7,0.832453268268804,0.999995354919091
gene-Sh2d3c,NC_000068.8,+,13,0.832499803815973,0.999995354919091
gene-Sox2ot,NC_000069.7,+,4,0.832598915457646,0.999995354919091
gene-Fancg,NC_000070.7,-,23,0.832664588729462,0.999995354919091
gene-Agpat4,NC_000083.7,+,9,0.832699242284576,0.999995354919091
gene-Cxcl14,NC_000079.7,-,4,0.832715045320282,0.999995354919091
gene-Ap5m1,NC_000080.7,+,14,0.832754982039803,0.999995354919091
gene-Smim15,NC_000079.7,+,3,0.832803046531122,0.999995354919091
gene-Toe1,NC_000070.7,-,10,0.833028112332017,0.999995354919091
gene-Dym,NC_000084.7,+,19,0.833104633117263,0.999995354919091
gene-Dctd,NC_000074.7,+,8,0.833417880350717,0.999995354919091
gene-Atp6v0e,NC_000083.7,+,4,0.833735601865352,0.999995354919091
gene-Inka2,NC_000069.7,+,2,0.833742176069467,0.999995354919091
gene-D130043K22Rik,NC_000079.7,+,19,0.833777786527718,0.999995354919091
gene-Stx2,NC_000071.7,-,17,0.833872004053516,0.999995354919091
gene-Slc25a53,NC_000086.8,-,8,0.834009606665929,0.999995354919091
gene-Lztfl1,NC_000075.7,-,11,0.834069687102796,0.999995354919091
gene-Ctdnep1,NC_000077.7,+,8,0.834185295382207,0.999995354919091
gene-Gpc3,NC_000086.8,-,8,0.834192389993865,0.999995354919091
gene-Mir12191,NC_000084.7,+,3,0.834209612270085,0.999995354919091
gene-Brme1,NC_000074.7,+,2,0.834247961684303,0.999995354919091
gene-Oip5os1,NC_000068.8,+,4,0.83426610732527,0.999995354919091
gene-Gon7,NC_000078.7,-,2,0.834292783093622,0.999995354919091
gene-Gen1,NC_000078.7,-,13,0.834300400993568,0.999995354919091
gene-Smim39,NC_000067.7,+,10,0.834306989875653,0.999995354919091
gene-Fignl1,NC_000077.7,-,6,0.834366938248703,0.999995354919091
gene-Tacc3,NC_000071.7,+,25,0.834397206740172,0.999995354919091
gene-Pcdhgb4,NC_000084.7,+,4,0.834628373510683,0.999995354919091
gene-Pskh1,NC_000074.7,+,3,0.834641946552181,0.999995354919091
gene-Gm2694,NC_000074.7,+,4,0.83473290702278,0.999995354919091
gene-Eef2kmt,NC_000082.7,-,6,0.834769718037098,0.999995354919091
gene-Akip1,NC_000073.7,+,5,0.834804349270786,0.999995354919091
gene-Lrrc73,NC_000083.7,+,8,0.834918895713854,0.999995354919091
gene-Slco2a1,NC_000075.7,+,8,0.83495334439081,0.999995354919091
gene-Gm57815,NC_000081.7,-,2,0.835002669959283,0.999995354919091
gene-Cox17,NC_000082.7,+,4,0.835164812426076,0.999995354919091
gene-Trdmt1,NC_000068.8,-,10,0.835182366636902,0.999995354919091
gene-Stoml2,NC_000070.7,-,11,0.835335209091108,0.999995354919091
gene-Pxmp2,NC_000071.7,-,3,0.835420953657125,0.999995354919091
gene-Ets2,NC_000082.7,+,10,0.835553928285456,0.999995354919091
gene-Egr1,NC_000084.7,+,2,0.835621880766392,0.999995354919091
gene-Ublcp1,NC_000077.7,-,12,0.835626642044626,0.999995354919091
gene-Cwc25,NC_000077.7,-,10,0.835696025816973,0.999995354919091
gene-Samm50,NC_000081.7,+,15,0.835697092392209,0.999995354919091
gene-Nhej1,NC_000067.7,-,6,0.835723423626682,0.999995354919091
gene-Mir7658,NC_000070.7,-,3,0.83572447196823,0.999995354919091
gene-Mir6970,NC_000083.7,-,4,0.835732295431631,0.999995354919091
gene-Msrb2,NC_000068.8,+,3,0.835760046592839,0.999995354919091
gene-Atp6v1f,NC_000072.7,+,2,0.836089529349222,0.999995354919091
gene-Rpia,NC_000072.7,-,9,0.836205167130429,0.999995354919091
gene-Afg2b,NC_000068.8,+,8,0.836331237768428,0.999995354919091
gene-Trim65,NC_000077.7,-,5,0.836692984870023,0.999995354919091
gene-Chmp2b,NC_000082.7,-,6,0.836823890107617,0.999995354919091
gene-Mir8093,NC_000068.8,-,2,0.836836820594714,0.999995354919091
gene-Ccn1,NC_000069.7,-,5,0.83697720215553,0.999995354919091
gene-Nthl1,NC_000083.7,+,8,0.836993754087491,0.999995354919091
gene-Asb13,NC_000079.7,+,8,0.837098508373239,0.999995354919091
gene-Ndufb2,NC_000072.7,+,6,0.837216953782819,0.999995354919091
gene-Tpra1,NC_000072.7,+,17,0.837360336067841,0.999995354919091
gene-Tent4a,NC_000079.7,-,14,0.837569114532958,0.999995354919091
gene-P2rx4,NC_000071.7,+,6,0.837573862950712,0.999995354919091
gene-Tmem222,NC_000070.7,-,7,0.837611358257205,0.999995354919091
gene-Ext1,NC_000081.7,-,11,0.83764170397284,0.999995354919091
gene-Rab3a,NC_000074.7,+,10,0.837644849647211,0.999995354919091
gene-Mrpl20,NC_000070.7,+,4,0.837658005397372,0.999995354919091
gene-Med25,NC_000073.7,-,22,0.837707071830722,0.999995354919091
gene-Rftn1,NC_000083.7,-,10,0.837747764926437,0.999995354919091
gene-Spice1,NC_000082.7,+,16,0.837813259062086,0.999995354919091
gene-Trappc1,NC_000077.7,+,5,0.837887039605831,0.999995354919091
gene-Pdgfb,NC_000081.7,-,8,0.837908690459525,0.999995354919091
gene-Lyrm1,NC_000073.7,+,6,0.837972835693152,0.999995354919091
gene-Ssr1,NC_000079.7,-,10,0.838001072155949,0.999995354919091
gene-Gm31214,NC_000086.8,+,8,0.838155172395041,0.999995354919091
gene-Cdc42ep3,NC_000083.7,-,4,0.838271501046686,0.999995354919091
gene-Gm40656,NC_000079.7,+,2,0.83833976875396,0.999995354919091
gene-2810039B14Rik,NC_000081.7,+,3,0.83879503690738,0.999995354919091
gene-Mir22hg,NC_000077.7,+,2,0.838795335881233,0.999995354919091
gene-Col2a1,NC_000081.7,-,55,0.83881471410929,0.999995354919091
gene-Rpap3,NC_000081.7,-,18,0.838847680547278,0.999995354919091
gene-Pradc1,NC_000072.7,-,5,0.838874091951862,0.999995354919091
gene-Ftx,NC_000086.8,-,11,0.838880140125042,0.999995354919091
gene-Fndc1,NC_000083.7,-,8,0.838905912638301,0.999995354919091
gene-Dusp26,NC_000074.7,+,5,0.838973895190451,0.999995354919091
gene-Fer,NC_000083.7,+,24,0.839073594678972,0.999995354919091
gene-Bend7,NC_000068.8,+,2,0.839217358821709,0.999995354919091
gene-Zfp523,NC_000083.7,+,21,0.839219502138992,0.999995354919091
gene-Mir1306,NC_000082.7,-,5,0.839269353345355,0.999995354919091
gene-Tekt2,NC_000070.7,-,11,0.839272375322146,0.999995354919091
gene-Gm42303,NC_000070.7,+,2,0.839399286851621,0.999995354919091
gene-Repin1,NC_000072.7,+,5,0.839478284223705,0.999995354919091
gene-Fdx1,NC_000075.7,-,5,0.839579295907392,0.999995354919091
gene-2610020C07Rik,NC_000082.7,+,2,0.839585822301944,0.999995354919091
gene-Pcyt2,NC_000077.7,-,17,0.839594056026112,0.999995354919091
gene-Zfp93,NC_000073.7,+,7,0.839604640140175,0.999995354919091
gene-Zfp36l2,NC_000083.7,-,2,0.839732507930618,0.999995354919091
gene-Bag3,NC_000073.7,+,2,0.839788244727003,0.999995354919091
gene-Rfc1,NC_000071.7,-,27,0.839789161347425,0.999995354919091
gene-Ak6,NC_000079.7,+,5,0.839823458154577,0.999995354919091
gene-Dolpp1,NC_000068.8,+,8,0.839836016782782,0.999995354919091
gene-Sagsin1,NC_000071.7,+,2,0.839872753919295,0.999995354919091
gene-Arhgdia,NC_000077.7,-,7,0.83992555890383,0.999995354919091
gene-Tagap1,NC_000083.7,-,3,0.839956390176778,0.999995354919091
gene-G630016G05Rik,NC_000068.8,+,4,0.839971662445044,0.999995354919091
gene-Arl6,NC_000082.7,-,8,0.839974149888983,0.999995354919091
gene-Syngr2,NC_000077.7,+,3,0.840079922409674,0.999995354919091
gene-Sh3yl1,NC_000078.7,+,11,0.840140995369713,0.999995354919091
gene-Zfp810,NC_000075.7,-,9,0.840166764450387,0.999995354919091
gene-Gm13199,NC_000068.8,-,3,0.840305474212328,0.999995354919091
gene-Rpl35,NC_000068.8,-,4,0.840377389909174,0.999995354919091
gene-Ildr2,NC_000067.7,+,9,0.840394872669679,0.999995354919091
gene-Acp6,NC_000069.7,+,10,0.840404637458186,0.999995354919091
gene-Fech,NC_000084.7,-,12,0.840494099477286,0.999995354919091
gene-Vars2,NC_000083.7,-,32,0.840542112751281,0.999995354919091
gene-S100a10,NC_000069.7,+,3,0.840558723773616,0.999995354919091
gene-Gm26777,NC_000078.7,-,5,0.840730297844578,0.999995354919091
gene-Ciapin1,NC_000074.7,-,13,0.840807305073459,0.999995354919091
gene-Ccdc106,NC_000073.7,+,14,0.840810412870552,0.999995354919091
gene-Pms2,NC_000071.7,+,41,0.84086900987028,0.999995354919091
gene-St3gal1,NC_000081.7,-,10,0.840893056685123,0.999995354919091
gene-Pld6,NC_000077.7,-,2,0.841116653342465,0.999995354919091
gene-Rab27b,NC_000084.7,-,3,0.841133831131099,0.999995354919091
gene-Rab5a,NC_000083.7,+,6,0.841184186068972,0.999995354919091
gene-Xndc1,NC_000073.7,+,11,0.841222273460921,0.999995354919091
gene-Mir125b-1,NC_000075.7,+,3,0.841285905094509,0.999995354919091
gene-Cish,NC_000075.7,+,5,0.841360577787574,0.999995354919091
gene-Kifc5b,NC_000083.7,+,10,0.841405955384072,0.999995354919091
gene-Cdca5,NC_000085.7,+,5,0.84145209996579,0.999995354919091
gene-Txnrd2,NC_000082.7,+,18,0.841478807194904,0.999995354919091
gene-Lgals9,NC_000077.7,-,4,0.841523730972341,0.999995354919091
gene-Eif5a2,NC_000069.7,+,5,0.841532499592399,0.999995354919091
gene-Mzt1,NC_000080.7,-,3,0.841537042718914,0.999995354919091
gene-Timm10,NC_000068.8,+,3,0.841597050319453,0.999995354919091
gene-Mrps11,NC_000073.7,+,8,0.841700281700117,0.999995354919091
gene-Dact2,NC_000083.7,-,3,0.841840588256917,0.999995354919091
gene-Slc46a1,NC_000077.7,+,5,0.841869090510791,0.999995354919091
gene-Hk2,NC_000072.7,-,14,0.841954827302251,0.999995354919091
gene-Rell1,NC_000071.7,-,7,0.842016121843803,0.999995354919091
gene-Cdh18,NC_000081.7,+,15,0.842074363378394,0.999995354919091
gene-Mccc1,NC_000069.7,-,23,0.842097219286596,0.999995354919091
gene-Prss12,NC_000069.7,+,11,0.842105554672994,0.999995354919091
gene-Pck2,NC_000080.7,+,10,0.842120497169827,0.999995354919091
gene-Slc32a1,NC_000068.8,+,3,0.842130118879437,0.999995354919091
gene-Rcsd1,NC_000067.7,-,3,0.842262521554532,0.999995354919091
gene-Haus8,NC_000074.7,-,15,0.842270214903349,0.999995354919091
gene-Ptges3,NC_000076.7,+,8,0.842397513695076,0.999995354919091
gene-Rab5c,NC_000077.7,-,7,0.842515296294033,0.999995354919091
gene-Tomm22,NC_000081.7,+,4,0.842544742535337,0.999995354919091
gene-Gbe1,NC_000082.7,+,15,0.84256766492912,0.999995354919091
gene-Gemin7,NC_000073.7,-,2,0.84274042723485,0.999995354919091
gene-Prtn3,NC_000076.7,+,4,0.842957810978351,0.999995354919091
gene-Atpaf2,NC_000077.7,-,12,0.843003703221621,0.999995354919091
gene-Vegfc,NC_000074.7,+,7,0.843054664128963,0.999995354919091
gene-Ntng1,NC_000069.7,-,8,0.843220777031241,0.999995354919091
gene-Alkbh2,NC_000071.7,-,8,0.843275056291488,0.999995354919091
gene-Cldnd2,NC_000073.7,+,2,0.843666555050468,0.999995354919091
gene-Sh3bp5l,NC_000077.7,+,10,0.843721092280923,0.999995354919091
gene-Twsg1,NC_000083.7,-,5,0.843732634721436,0.999995354919091
gene-Incenp,NC_000085.7,-,21,0.843794888047389,0.999995354919091
gene-Rps19bp1,NC_000081.7,-,4,0.843938953639422,0.999995354919091
gene-Gm53258,NC_000081.7,-,2,0.844045841945807,0.999995354919091
gene-Gin1,NC_000067.7,+,11,0.844129024763138,0.999995354919091
gene-Gpr19,NC_000072.7,-,6,0.844164891836709,0.999995354919091
gene-E330013P04Rik,NC_000085.7,+,2,0.844372078420556,0.999995354919091
gene-Wnt5a,NC_000080.7,+,8,0.844413065835258,0.999995354919091
gene-Sgce,NC_000072.7,-,15,0.844495660437986,0.999995354919091
gene-Pdcd7,NC_000075.7,+,5,0.844728622157918,0.999995354919091
gene-Cnnm2,NC_000085.7,+,8,0.844890420829006,0.999995354919091
gene-Lyrm4,NC_000079.7,-,3,0.844896284688701,0.999995354919091
gene-Gm40462,NC_000078.7,-,2,0.844903372224545,0.999995354919091
gene-Smn1,NC_000079.7,+,11,0.844916111371321,0.999995354919091
gene-Lbhd1,NC_000085.7,+,3,0.845143637070055,0.999995354919091
gene-Srpra,NC_000075.7,+,14,0.845162644225666,0.999995354919091
gene-Prelid3a,NC_000084.7,+,10,0.845239662563018,0.999995354919091
gene-Abhd10,NC_000082.7,-,10,0.845282991856693,0.999995354919091
gene-Snx7,NC_000069.7,-,9,0.845387707865396,0.999995354919091
gene-Nexn,NC_000069.7,-,12,0.845391579865956,0.999995354919091
gene-Dnah1,NC_000080.7,-,17,0.845459918211877,0.999995354919091
gene-Mir3112,NC_000086.8,+,3,0.845503892351805,0.999995354919091
gene-Mob1b,NC_000071.7,+,6,0.845534486938119,0.999995354919091
gene-Sulf1,NC_000067.7,+,23,0.845633718984266,0.999995354919091
gene-Mrpl41,NC_000068.8,-,2,0.845735643614205,0.999995354919091
gene-Ccdc92,NC_000071.7,-,6,0.845848019878255,0.999995354919091
gene-Rpl26,NC_000077.7,+,4,0.845908661678523,0.999995354919091
gene-Eif3m,NC_000068.8,-,11,0.846281007285558,0.999995354919091
gene-Pnpla2,NC_000073.7,+,9,0.846382343219718,0.999995354919091
gene-Ccdc12,NC_000075.7,+,7,0.846394757662251,0.999995354919091
gene-Fzr1,NC_000076.7,-,14,0.846471598034953,0.999995354919091
gene-Rtf2,NC_000068.8,+,9,0.846504336255533,0.999995354919091
gene-Bad,NC_000085.7,+,5,0.846589327987701,0.999995354919091
gene-Ftsj1,NC_000086.8,-,14,0.846623330807966,0.999995354919091
gene-Tceal5,NC_000086.8,-,3,0.846858960830944,0.999995354919091
gene-Cdc37,NC_000075.7,-,9,0.847149935261565,0.999995354919091
gene-Mpc2,NC_000067.7,+,5,0.847277725184102,0.999995354919091
gene-Yif1a,NC_000085.7,+,8,0.847320492271519,0.999995354919091
gene-Mcc,NC_000084.7,-,6,0.847480050516962,0.999995354919091
gene-Csdc2,NC_000081.7,+,4,0.847547869262463,0.999995354919091
gene-Fkbp3,NC_000078.7,-,7,0.847556781421465,0.999995354919091
gene-Slc44a2,NC_000075.7,+,25,0.847580861169199,0.999995354919091
gene-Dennd5a,NC_000073.7,-,23,0.847596805189163,0.999995354919091
gene-Znrf2,NC_000072.7,+,5,0.847691285820981,0.999995354919091
gene-Slc9a9,NC_000075.7,+,2,0.847902673171828,0.999995354919091
gene-Tlcd4,NC_000069.7,-,6,0.847907785950655,0.999995354919091
gene-Letm1,NC_000071.7,-,14,0.848227459447076,0.999995354919091
gene-Acyp1,NC_000078.7,-,4,0.848271949909083,0.999995354919091
gene-Rpl31,NC_000067.7,+,7,0.84832189951273,0.999995354919091
gene-Cltb,NC_000079.7,-,6,0.848492591271972,0.999995354919091
gene-Mier3,NC_000079.7,+,15,0.848655844353636,0.999995354919091
gene-Tmem132d,NC_000071.7,-,6,0.848817858302584,0.999995354919091
gene-Rsrc2,NC_000071.7,-,17,0.848842433462475,0.999995354919091
gene-Tfg,NC_000082.7,-,10,0.848865494626804,0.999995354919091
gene-Cacnb2,NC_000068.8,+,13,0.848912772391971,0.999995354919091
gene-Masp2,NC_000070.7,+,2,0.848994900424015,0.999995354919091
gene-Gatb,NC_000069.7,+,14,0.849034993898873,0.999995354919091
gene-Camkv,NC_000075.7,+,13,0.849178527124197,0.999995354919091
gene-Pebp1,NC_000071.7,-,4,0.84918977510865,0.999995354919091
gene-Tvp23b,NC_000077.7,+,7,0.849267415980058,0.999995354919091
gene-Ccdc120,NC_000086.8,-,9,0.849281116005859,0.999995354919091
gene-4732471J01Rik,NC_000073.7,+,5,0.849331395950249,0.999995354919091
gene-Ubald1,NC_000082.7,-,6,0.849396554259291,0.999995354919091
gene-Gm36411,NC_000077.7,+,2,0.84946116009118,0.999995354919091
gene-Gm33136,NC_000073.7,-,2,0.849472027716153,0.999995354919091
gene-Rpa2,NC_000070.7,+,9,0.849645275118049,0.999995354919091
gene-Ccdc86,NC_000085.7,-,4,0.849758548737815,0.999995354919091
gene-Uqcc1,NC_000068.8,-,13,0.849772158817704,0.999995354919091
gene-Gm54079,NC_000086.8,-,6,0.84980433861387,0.999995354919091
gene-Tpi1,NC_000072.7,-,7,0.849840285597316,0.999995354919091
gene-1110059E24Rik,NC_000085.7,-,4,0.849882817368012,0.999995354919091
gene-Cox14,NC_000081.7,+,2,0.84989152076365,0.999995354919091
gene-Phyhipl,NC_000076.7,-,5,0.849969058821819,0.999995354919091
gene-Chrna4,NC_000068.8,-,6,0.850112914794272,0.999995354919091
gene-Htr5a,NC_000071.7,+,3,0.850115808990522,0.999995354919091
gene-Ugt8a,NC_000069.7,-,2,0.850194131927293,0.999995354919091
gene-Tmed4,NC_000077.7,-,5,0.850248001557986,0.999995354919091
gene-Zfp9,NC_000072.7,-,7,0.85033574875409,0.999995354919091
gene-Fam98c,NC_000073.7,-,8,0.850419788676146,0.999995354919091
gene-Vax1,NC_000085.7,-,3,0.85048189013174,0.999995354919091
gene-Mir7006,NC_000068.8,-,4,0.850638344934305,0.999995354919091
gene-Fndc5,NC_000070.7,+,5,0.850780927735644,0.999995354919091
gene-Dpm2,NC_000068.8,+,4,0.850856486149592,0.999995354919091
gene-Gm26910,NC_000084.7,-,2,0.85087520238211,0.999995354919091
gene-Tti2,NC_000074.7,+,9,0.8509764556205,0.999995354919091
gene-Poglut1,NC_000082.7,-,15,0.850989414837,0.999995354919091
gene-Mir686,NC_000080.7,-,3,0.850990800042585,0.999995354919091
gene-Spry2,NC_000080.7,-,3,0.851170234774517,0.999995354919091
gene-Slc7a8,NC_000080.7,-,12,0.85119527502165,0.999995354919091
gene-Slc46a3,NC_000071.7,-,2,0.851244779792457,0.999995354919091
gene-A230056P14Rik,NC_000073.7,+,6,0.85132729745045,0.999995354919091
gene-Npas2,NC_000067.7,+,13,0.851328674721353,0.999995354919091
gene-Nup62,NC_000073.7,+,2,0.851366438806434,0.999995354919091
gene-Gm33272,NC_000087.8,+,4,0.85137448775492,0.999995354919091
gene-Fibcd1,NC_000068.8,-,5,0.851430046636764,0.999995354919091
gene-Pim3,NC_000081.7,+,6,0.851475179578768,0.999995354919091
gene-Sarnp,NC_000076.7,+,13,0.851488615670915,0.999995354919091
gene-Dclre1c,NC_000068.8,+,26,0.851758370245486,0.999995354919091
gene-Katnal1,NC_000071.7,-,14,0.851844423198067,0.999995354919091
gene-Mir6945,NC_000079.7,-,5,0.851889512317334,0.999995354919091
gene-Pibf1,NC_000080.7,+,22,0.852033812134394,0.999995354919091
gene-Rgs2,NC_000067.7,-,5,0.852125529925918,0.999995354919091
gene-Kcnq4,NC_000070.7,-,13,0.85212897314638,0.999995354919091
gene-Cemip,NC_000073.7,-,5,0.852132718032061,0.999995354919091
gene-Fstl1,NC_000082.7,+,11,0.852255439047872,0.999995354919091
gene-Cln5,NC_000080.7,+,4,0.852376401845354,0.999995354919091
gene-Pla2g15,NC_000074.7,+,7,0.852447149626755,0.999995354919091
gene-Rpp30,NC_000085.7,+,12,0.852472098230664,0.999995354919091
gene-Ctsh,NC_000075.7,+,10,0.852484644761563,0.999995354919091
gene-Selenom,NC_000077.7,+,5,0.852615233668573,0.999995354919091
gene-Dynlt1f,NC_000083.7,-,7,0.8528124540466,0.999995354919091
gene-Ppard,NC_000083.7,+,10,0.853127735912127,0.999995354919091
gene-Hyls1,NC_000075.7,-,4,0.853173070137462,0.999995354919091
gene-Babam1,NC_000074.7,+,11,0.853216603815074,0.999995354919091
gene-Vrk3,NC_000073.7,+,15,0.853236510647145,0.999995354919091
gene-Map7d2,NC_000086.8,+,18,0.853262483880657,0.999995354919091
gene-Ubxn2b,NC_000070.7,+,8,0.853412599416918,0.999995354919091
gene-Fcsk,NC_000074.7,-,25,0.85346843635207,0.999995354919091
gene-A930005H10Rik,NC_000069.7,-,2,0.853496801692278,0.999995354919091
gene-Epb41l4b,NC_000070.7,-,3,0.853691005635941,0.999995354919091
gene-Car2,NC_000069.7,+,7,0.853692206298527,0.999995354919091
gene-Rac3,NC_000077.7,+,6,0.853713186352608,0.999995354919091
gene-Cdc25b,NC_000068.8,+,17,0.853885592605511,0.999995354919091
gene-Surf1,NC_000068.8,-,13,0.853890700130579,0.999995354919091
gene-Pias4,NC_000076.7,-,11,0.854066699350417,0.999995354919091
gene-Fpgt,NC_000069.7,-,6,0.854192036312025,0.999995354919091
gene-Prpf6,NC_000068.8,+,21,0.854229606380052,0.999995354919091
gene-Dusp10,NC_000067.7,+,3,0.85439237259314,0.999995354919091
gene-Chst7,NC_000086.8,+,2,0.854457429225173,0.999995354919091
gene-Ebag9,NC_000081.7,+,7,0.854501557856941,0.999995354919091
gene-Lactb,NC_000075.7,-,6,0.854530885564679,0.999995354919091
gene-Mpdu1,NC_000077.7,-,8,0.854662118279634,0.999995354919091
gene-Emp1,NC_000072.7,+,5,0.854835911477985,0.999995354919091
gene-Rps27a,NC_000077.7,-,7,0.854841494633161,0.999995354919091
gene-Ndufs5,NC_000070.7,-,3,0.855129041407131,0.999995354919091
gene-Snhg12,NC_000070.7,+,5,0.855197429091147,0.999995354919091
gene-Oard1,NC_000083.7,+,11,0.855296839762103,0.999995354919091
gene-A330076H08Rik,NC_000073.7,-,4,0.855399402351493,0.999995354919091
gene-Skida1,NC_000068.8,-,2,0.855446904446414,0.999995354919091
gene-Ssh3,NC_000085.7,-,17,0.855459415404771,0.999995354919091
gene-Etv1,NC_000078.7,+,15,0.855462608309649,0.999995354919091
gene-Prdx4,NC_000086.8,-,7,0.855514793628736,0.999995354919091
gene-Angptl2,NC_000068.8,+,4,0.855517987880563,0.999995354919091
gene-Dnaaf10,NC_000077.7,+,8,0.855559280499989,0.999995354919091
gene-Mrpl42,NC_000076.7,-,6,0.855593612047212,0.999995354919091
gene-Trim26,NC_000083.7,+,11,0.855700634537549,0.999995354919091
gene-Mphosph6,NC_000074.7,-,6,0.855869282233184,0.999995354919091
gene-Creld1,NC_000072.7,+,11,0.855927794600089,0.999995354919091
gene-Gm11419,NC_000077.7,+,7,0.855975399852404,0.999995354919091
gene-Gssos2,NC_000068.8,+,7,0.856011928226838,0.999995354919091
gene-Tmem219,NC_000073.7,-,7,0.856049230523815,0.999995354919091
gene-Gm39000,NC_000073.7,-,2,0.856066911596554,0.999995354919091
gene-Cfl1,NC_000085.7,+,4,0.85609092412691,0.999995354919091
gene-AW209491,NC_000079.7,+,3,0.856111040373384,0.999995354919091
gene-Mboat1,NC_000079.7,+,5,0.856145876927413,0.999995354919091
gene-Bri3,NC_000071.7,+,4,0.85630046495666,0.999995354919091
gene-Zc4h2,NC_000086.8,-,6,0.856891835193777,0.999995354919091
gene-Acer2,NC_000070.7,+,4,0.856911989920436,0.999995354919091
gene-Sardh,NC_000068.8,-,13,0.856961077456143,0.999995354919091
gene-Nudt9,NC_000071.7,+,9,0.85697457256187,0.999995354919091
gene-Mrps30,NC_000079.7,-,5,0.8570972888715,0.999995354919091
gene-Ccdc124,NC_000074.7,-,9,0.857156832716403,0.999995354919091
gene-Msx1,NC_000071.7,-,2,0.857211226998274,0.999995354919091
gene-Ccnf,NC_000083.7,-,22,0.857225347492571,0.999995354919091
gene-Zfand3,NC_000083.7,+,7,0.857279733831328,0.999995354919091
gene-Sde2,NC_000067.7,+,7,0.857402147587574,0.999995354919091
gene-Dcdc2b,NC_000070.7,-,12,0.857418776129604,0.999995354919091
gene-Eif2b3,NC_000070.7,+,12,0.857493400916823,0.999995354919091
gene-Gpr180,NC_000080.7,+,12,0.857506631063787,0.999995354919091
gene-Ankrd34a,NC_000069.7,+,2,0.857530652303861,0.999995354919091
